function_key,function_label,level_key,level_label,salary,employee_true_cost,ai_tco,annual_savings,savings_pct,npv_5yr,payback_months,token_cost,hosting,security,process_failure,residual_human_oversight,hidden_cost_total,hidden_cost_pct
swe,Software Engineer,intern,Intern,72000,131820,174292,-42472,-32.21943612738962,-132784,,4028,39800,53500,42300,26364,137063,82.57183182060565
ds,Data Scientist,intern,Intern,70000,128200,200714,-72514,-56.563404043974266,-210151,,4166,39800,53500,68050,25640,162939,85.23869537989312
pm,Product Manager,intern,Intern,62000,113720,149395,-35675,-31.37074242107809,-114989,,4170,39800,53500,22067,22744,116964,82.20613366298863
finance,Financial Analyst,intern,Intern,50000,92000,155904,-63904,-69.46101341711962,-187403,,4563,39800,53500,32217,18400,127468,85.84819021900384
hr,HR Generalist,intern,Intern,42000,77520,131549,-54029,-69.69668286208397,-161730,,3793,39800,53500,12688,15504,107243,85.59934164912666
ops,Operations Analyst,intern,Intern,44000,81140,147055,-65915,-81.23625408245012,-192418,,5008,39800,53500,25517,16228,121169,86.51708919753544
marketing,Marketing Manager,intern,Intern,44000,81140,135831,-54691,-67.40342839151468,-163493,,4385,39800,53500,15450,16228,110518,85.43280254936705
sales,Sales Representative,intern,Intern,45000,82950,134761,-51811,-62.46056170886077,-156098,,4804,39800,53500,13650,16590,109102,85.0074616453896
legal,Legal Counsel,intern,Intern,65000,119150,181239,-62089,-52.1095433146244,-183143,,5011,39800,53500,50467,23830,146118,84.65316941557833
cs,Customer Support Agent,intern,Intern,42000,77520,131377,-53857,-69.47490748355261,-161287,,4869,39800,53500,11448,15504,106957,85.48294126213773
it,IT Support Specialist,intern,Intern,45000,82950,147322,-64372,-77.60307753164555,-188469,,4716,39800,53500,25700,16590,121094,86.3070603187336
strategy,Strategy Consultant,intern,Intern,58000,106480,160078,-53598,-50.335814879408105,-161066,,4371,39800,53500,33488,21296,128562,84.32789936824912
swe,Software Engineer,entry,Entry,110000,200600,188735,11865,5.914526070226824,6184,26.644102403812894,4028,39800,53500,42300,40120,137063,76.25266413474895
ds,Data Scientist,entry,Entry,115000,209650,217819,-8169,-3.8963911206177015,-45583,,4166,39800,53500,68050,41930,162939,78.54521725805232
